Script_id,Script_Title,Movie_Release_Date,Script_Date,Raw_Script_URL,Raw_Script_Loc
13,30 Minutes or Less,11-Aug,9-Dec,http://www.imsdb.com//scripts/30-Minutes-or-Less.html,raw_Script/30 Minutes or Less.txt
132,"Battle of Algiers, The",,,"http://www.imsdb.com//scripts/Battle-of-Algiers,-The.html",unclean
298,Death to Smoochy,,Mar-97,http://www.imsdb.com//scripts/Death-to-Smoochy.html,raw_Script/Death to Smoochy.txt
1100,X-Men,,Feb-99,http://www.imsdb.com//scripts/X-Men.html,unclean
287,Dark Star,,,http://www.imsdb.com//scripts/Dark-Star.html,unclean
771,Paul,11-Mar,,http://www.imsdb.com//scripts/Paul.html,raw_Script/Paul.txt
127,Batman 2,,,http://www.imsdb.com//scripts/Batman-2.html,unclean
633,Lord of the Rings: The Two Towers,2-Dec,,http://www.imsdb.com//scripts/Lord-of-the-Rings-The-Two-Towers.html,raw_Script/Lord of the Rings: The Two Towers.txt
5,127 Hours,10-Nov,,http://www.imsdb.com//scripts/127-Hours.html,raw_Script/127 Hours.txt
691,Mini's First Time,6-Jun,,http://www.imsdb.com//scripts/Mini's-First-Time.html,raw_Script/Mini's First Time.txt
600,Last Tango in Paris,Feb-73,,http://www.imsdb.com//scripts/Last-Tango-in-Paris.html,raw_Script/Last Tango in Paris.txt
935,St. Elmo's Fire,Jun-85,Sep-84,http://www.imsdb.com//scripts/St.-Elmo's-Fire.html,raw_Script/St. Elmo's Fire.txt
930,Spartan,,2-Feb,http://www.imsdb.com//scripts/Spartan.html,raw_Script/Spartan.txt
1002,Thunderheart,Apr-92,Oct-90,http://www.imsdb.com//scripts/Thunderheart.html,raw_Script/Thunderheart.txt
879,Serenity,5-Sep,4-Apr,http://www.imsdb.com//scripts/Serenity.html,raw_Script/Serenity.txt
843,RKO 281,Nov-99,May-97,http://www.imsdb.com//scripts/RKO-281.html,raw_Script/RKO 281.txt
549,It's Complicated,9-Dec,,http://www.imsdb.com//scripts/It's-Complicated.html,raw_Script/It's Complicated.txt
504,"Horse Whisperer, The",,Jan-97,"http://www.imsdb.com//scripts/Horse-Whisperer,-The.html",unclean
362,Extract,9-Sep,8-Mar,http://www.imsdb.com//scripts/Extract.html,raw_Script/Extract.txt
182,Bound,Oct-96,,http://www.imsdb.com//scripts/Bound.html,raw_Script/Bound.txt
1043,Up,9-May,,http://www.imsdb.com//scripts/Up.html,raw_Script/Up.txt
207,"Butterfly Effect, The",4-Jan,,"http://www.imsdb.com//scripts/Butterfly-Effect,-The.html","raw_Script/Butterfly Effect, The.txt"
826,Rear Window,,Dec-53,http://www.imsdb.com//scripts/Rear-Window.html,raw_Script/Rear Window.txt
1109,Zerophilia,6-Oct,4-Mar,http://www.imsdb.com//scripts/Zerophilia.html,raw_Script/Zerophilia.txt
391,Fracture,7-Apr,5-Jan,http://www.imsdb.com//scripts/Fracture.html,raw_Script/Fracture.txt
58,American History X,,Feb-97,http://www.imsdb.com//scripts/American-History-X.html,raw_Script/American History X.txt
312,Die Hard 2,Jul-90,Nov-89,http://www.imsdb.com//scripts/Die-Hard-2.html,raw_Script/Die Hard 2.txt
692,Minority Report,,1-May,http://www.imsdb.com//scripts/Minority-Report.html,unclean
581,"Kingdom, The",7-Sep,6-Aug,"http://www.imsdb.com//scripts/Kingdom,-The.html","raw_Script/Kingdom, The.txt"
56,American Gangster,7-Nov,6-Jul,http://www.imsdb.com//scripts/American-Gangster.html,raw_Script/American Gangster.txt
