Script_Id,Writer_Name
467,Ronald Shusett
467,Steven Seagal
761,Peter Morgan
761,Philippa Gregory
39,Roger Allers
39,Ron Clements
541,Ken Hixon
720,Adrian Hodges
511,Dean DeBlois
511,Chris Sanders
768,Dee Rees
72,Susan Gauthier
72,Bruce Graham
836,Quentin Tarantino
812,Ronan Bennett
812,Michael Mann
812,Ann Eiderman
624,Tom DiCillo
433,John August
558,Carl Gottlieb
558,Howard Sackler
190,Oliver Stone
921,Robbie Fox
1064,Margaret Nagle
502,John Sayles
1105,Kenneth Lonergan
1104,Nicholas Stoller
1104,Danny Wallace
376,Phil Alden Robinson
542,Ricky Gervais
542,Matthew Robinson
957,Raymond Chandler
957,Czenzi Ormonde
699,Steven Zaillian
699,Aaron Sorkin
528,George Lucas
528,Philip Kaufman
528,Menno Meyjes
528,Jeffrey Boam
106,Guillermo Arriaga
539,Sean Penn
539,Jon Krakauer
702,Ron Bass
78,John Orloff
1082,Maria Veltre Druse
1082,Jack Sekowski
88,Ross LaManna
700,Sam Hamm
700,Kaja Blackley
700,Vanessa Chong
974,Skip Woods
540,Matthew Stone
540,John Romano
540,Robert Ramsey
540,Ethan Coen
540,Joel Coen
386,John Gatins
1036,Dan Gilroy
22,Joel Coen
22,Ethan Coen
197,Graham Yost
320,Paul Attanasio
1034,Mark Frost
1034,David Lynch
1034,Robert Engels
579,Paul D. Zimmerman
962,Megan Holley
1040,Clayton Frohman
1040,Ron Shelton
329,Euzhan Palcy
742,Melchior Lengyel
742,Charles Brackett
742,Billy Wilder
742,Walter Reisch
544,Abi Morgan
140,Bill Forsyth
300,Mark Bomback
300,Patrick Marber
872,Kevin Williamson
984,Seth Macfarlane
984,Alec Sulkin
984,Wellesley Wild
832,William Fetters
832,Jenny Lumet
986,James Cameron
986,William Wisher
243,Michael France
476,Abby Kohn
476,Marc Silverstein
1003,Paul B. Margolis
1055,Thomas McCarthy
509,Rob Zombie
409,David Twohy
604,William Hjortsberg
227,Peter Stone
491,Hal Hartley
240,Gerald Brach
240,Roland Joffe
263,Patrick Sheane Duncan
1048,Christopher McQuarrie
1048,Nathan Alexander
776,John Lee Hancock
900,Rex Pickett
900,Alexander Payne
900,Jim Taylor
428,Dan Aykroyd
428,Harold Ramis
361,David Cronenberg
270,John Collee
893,Michael Robert Johnson
893,Anthony Peckham
893,Simon Kinberg
712,Robert D. San Souci
753,Mike Judge
829,David Leslie Johnson
1091,Joseph Gangemi
1091,Steven Katz
566,Steven E. de Souza
593,Tom Hanks
202,Ron Shelton
1033,Melissa Rosenberg
1033,Stephenie Meyer
34,Agnieszka Wojtowicz-Vosloo
498,Ben Hecht
498,Charles MacArthur
888,John Hodge
377,Luc Besson
861,Nathan Atkins
1068,Peter Weir
1068,Slavomir Rawicz
830,Ehren Kruger
210,Dan Futterman
839,Justin Haythe
1069,James Gray
424,David S. Goyer
113,Michael Barrie
113,Jim Mulholland
113,Doug Richardson
507,Josh Heald
372,David O'Malley
749,Jody Hill
214,Ray Wright
154,Josh Friedman
154,James Ellroy
596,John Monk Saunders
440,Mike White
666,Mark Verheiden
501,Gary Scott Thompson
501,Andrew W. Marlowe
