Script_Id,Script_Title,Movie_Release_Date,Script_Date,Raw_Script_URL,Raw_Script_Loc,rt_id,rt_title,rt_year,rt_critics_score,rt_audience_score
227,Charade,Dec-63,Oct-62,http://www.imsdb.com//scripts/Charade.html,raw_Script/Charade.txt,17945.0,Charade,1963.0,92.0,93.0
228,Charlie's Angels,,Aug-99,http://www.imsdb.com//scripts/Charlie's-Angels.html,raw_Script/Charlie's Angels.txt,11062.0,Charlie's Angels,2000.0,67.0,45.0
230,Chasing Sleep,1-Sep,,http://www.imsdb.com//scripts/Chasing-Sleep.html,raw_Script/Chasing Sleep.txt,770671969.0,Chasing Sleep,2000.0,50.0,47.0
231,Cherry Falls,Aug-00,Feb-98,http://www.imsdb.com//scripts/Cherry-Falls.html,raw_Script/Cherry Falls.txt,130560914.0,Cherry Falls,2000.0,46.0,31.0
232,Chinatown,Jun-74,,http://www.imsdb.com//scripts/Chinatown.html,raw_Script/Chinatown.txt,12883.0,Chinatown,1974.0,98.0,93.0
233,Chronicle,12-Feb,,http://www.imsdb.com//scripts/Chronicle.html,raw_Script/Chronicle.txt,771239389.0,Chronicle,2012.0,85.0,71.0
234,"Chronicles of Narnia  The Lion, the Witch and the Wardrobe",5-Dec,,"http://www.imsdb.com//scripts/Chronicles-of-Narnia-The-Lion,-the-Witch-and-the-Wardrobe.html","raw_Script/Chronicles of Narnia  The Lion, the Witch and the Wardrobe.txt",24214.0,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",2005.0,76.0,61.0
235,"Cider House Rules, The",Dec-99,,"http://www.imsdb.com//scripts/Cider-House-Rules,-The.html","raw_Script/Cider House Rules, The.txt",10411.0,The Cider House Rules,1999.0,71.0,78.0
236,"Cincinnati Kid, The",Oct-65,,"http://www.imsdb.com//scripts/Cincinnati-Kid,-The.html","raw_Script/Cincinnati Kid, The.txt",18270.0,The Cincinnati Kid,1965.0,85.0,79.0
238,Cirque du Freak  The Vampire's Assistant,9-Oct,,http://www.imsdb.com//scripts/Cirque-du-Freak-The-Vampire's-Assistant.html,raw_Script/Cirque du Freak  The Vampire's Assistant.txt,770767597.0,Cirque du Freak: The Vampire's Assistant,2009.0,38.0,42.0
240,City of Joy,,Oct-90,http://www.imsdb.com//scripts/City-of-Joy.html,raw_Script/City of Joy.txt,11533.0,City of Joy,1992.0,57.0,77.0
241,Clash of the Titans,10-Apr,8-May,http://www.imsdb.com//scripts/Clash-of-the-Titans.html,raw_Script/Clash of the Titans.txt,10212.0,Clash of the Titans,1981.0,66.0,70.0
243,Cliffhanger,May-93,,http://www.imsdb.com//scripts/Cliffhanger.html,raw_Script/Cliffhanger.txt,16194.0,Cliffhanger,1993.0,69.0,51.0
246,Cobb,,Jul-93,http://www.imsdb.com//scripts/Cobb.html,raw_Script/Cobb.txt,13673.0,Cobb,1994.0,67.0,61.0
247,Code of Silence,May-85,,http://www.imsdb.com//scripts/Code-of-Silence.html,raw_Script/Code of Silence.txt,14591.0,Code of Silence,1985.0,50.0,51.0
248,Cold Mountain,3-Dec,,http://www.imsdb.com//scripts/Cold-Mountain.html,raw_Script/Cold Mountain.txt,12931.0,Cold Mountain,2003.0,71.0,77.0
250,Collateral Damage,,Apr-00,http://www.imsdb.com//scripts/Collateral-Damage.html,raw_Script/Collateral Damage.txt,14008.0,Collateral Damage,2002.0,18.0,27.0
251,Colombiana,11-Aug,9-Aug,http://www.imsdb.com//scripts/Colombiana.html,raw_Script/Colombiana.txt,771205891.0,Colombiana,2011.0,27.0,67.0
252,Color of Night,Aug-94,,http://www.imsdb.com//scripts/Color-of-Night.html,raw_Script/Color of Night.txt,13567.0,Color of Night,1994.0,22.0,32.0
253,Commando,Oct-85,Apr-85,http://www.imsdb.com//scripts/Commando.html,raw_Script/Commando.txt,13866.0,Commando,1985.0,69.0,68.0
254,Conan the Barbarian,11-Aug,9-Oct,http://www.imsdb.com//scripts/Conan-the-Barbarian.html,raw_Script/Conan the Barbarian.txt,770782767.0,Conan the Barbarian,2011.0,24.0,30.0
255,Confessions of a Dangerous Mind,,May-98,http://www.imsdb.com//scripts/Confessions-of-a-Dangerous-Mind.html,raw_Script/Confessions of a Dangerous Mind.txt,13421.0,Confessions of a Dangerous Mind,2002.0,79.0,76.0
256,Confidence,,Mar-00,http://www.imsdb.com//scripts/Confidence.html,raw_Script/Confidence.txt,14362.0,Confidence,2003.0,71.0,71.0
257,Constantine,5-Feb,2-Nov,http://www.imsdb.com//scripts/Constantine.html,raw_Script/Constantine.txt,12977.0,Constantine,2005.0,46.0,73.0
259,"Cooler, The",3-Nov,,"http://www.imsdb.com//scripts/Cooler,-The.html","raw_Script/Cooler, The.txt",13608.0,The Cooler,2003.0,77.0,70.0
261,Coraline,9-Feb,,http://www.imsdb.com//scripts/Coraline.html,raw_Script/Coraline.txt,770680446.0,Coraline,2009.0,90.0,72.0
262,Coriolanus,12-Jan,,http://www.imsdb.com//scripts/Coriolanus.html,raw_Script/Coriolanus.txt,771204667.0,Coriolanus,2011.0,93.0,58.0
264,Cowboys & Aliens,11-Jul,9-Aug,http://www.imsdb.com//scripts/Cowboys-&-Aliens.html,raw_Script/Cowboys & Aliens.txt,770863875.0,Cowboys & Aliens,2011.0,44.0,44.0
265,Cradle 2 the Grave,,2-May,http://www.imsdb.com//scripts/Cradle-2-the-Grave.html,raw_Script/Cradle 2 the Grave.txt,15988.0,Cradle 2 the Grave,2003.0,26.0,53.0
266,Crank,6-Sep,5-Feb,http://www.imsdb.com//scripts/Crank.html,raw_Script/Crank.txt,276994403.0,Crank,2006.0,61.0,71.0
267,Crash,,1996,http://www.imsdb.com//scripts/Crash.html,raw_Script/Crash.txt,12.0,Crash,2005.0,75.0,89.0
