Script_Id,Genre
987,Sci-Fi
987,Thriller
938,Action
938,Adventure
938,Sci-Fi
601,Crime
601,Drama
601,Thriller
2,Comedy
290,Comedy
831,Horror
831,Thriller
505,Comedy
505,Drama
266,Action
266,Crime
266,Drama
266,Thriller
787,Action
787,Adventure
787,Comedy
283,Adventure
283,Drama
283,Western
103,Action
103,Adventure
564,Action
319,Comedy
319,Fantasy
319,Adventure
383,Drama
393,Drama
393,Fantasy
393,Horror
393,Romance
393,Sci-Fi
137,Drama
137,Fantasy
294,Drama
294,Sci-Fi
294,Thriller
115,Horror
115,Thriller
369,Animation
369,Adventure
369,Comedy
369,Family
751,Comedy
751,Thriller
751,Crime
605,Action
605,Fantasy
605,Horror
605,Thriller
524,Crime
524,Drama
355,Comedy
355,Romance
355,Drama
218,Action
218,Crime
44,Action
44,Horror
44,Sci-Fi
44,Thriller
322,Biography
322,Drama
322,Music
84,Comedy
84,Horror
84,Mystery
229,Comedy
229,Romance
299,Action
299,Drama
299,Thriller
464,Comedy
587,Crime
587,Drama
587,Mystery
587,Thriller
394,Comedy
394,Sci-Fi
920,Action
920,Adventure
920,Drama
1057,Drama
1057,Romance
275,Action
275,Drama
275,Horror
275,Fantasy
275,Romance
275,Thriller
651,Action
651,Crime
651,Drama
651,Thriller
892,Comedy
892,Romance
929,Thriller
536,Horror
536,Thriller
1106,Comedy
1106,Romance
90,Action
90,Sci-Fi
90,Thriller
992,Action
992,Horror
992,Sci-Fi
992,Thriller
658,Drama
520,Action
520,Sci-Fi
520,Thriller
147,Comedy
147,Family
147,Fantasy
637,Adventure
637,Fantasy
637,Sci-Fi
637,Drama
637,Mystery
1049,Mystery
1049,Romance
1049,Sci-Fi
1049,Thriller
714,Comedy
714,Drama
660,Comedy
660,Drama
30,Romance
30,Sci-Fi
30,Thriller
42,Action
42,Drama
42,Horror
42,Sci-Fi
42,Thriller
707,Crime
707,Drama
707,Thriller
523,Adventure
523,Fantasy
523,Mystery
975,Comedy
975,Drama
453,Crime
453,Comedy
453,Romance
453,Thriller
358,Horror
358,Fantasy
358,Comedy
358,Action
704,Comedy
704,Drama
704,Romance
217,Crime
217,Drama
547,Romance
547,Comedy
1004,Horror
1004,Thriller
1059,Crime
1059,Drama
977,Drama
977,Crime
977,Thriller
977,Horror
898,Animation
898,Adventure
898,Comedy
898,Family
898,Fantasy
898,Romance
722,Comedy
247,Action
247,Drama
309,Crime
309,Mystery
309,Thriller
170,Drama
170,Romance
815,Drama
815,Music
694,Horror
694,Mystery
694,Thriller
301,Action
301,Crime
301,Thriller
262,Drama
262,Thriller
262,War
574,Drama
647,Comedy
887,Drama
887,Romance
887,Comedy
686,Comedy
686,Fantasy
686,Romance
375,Comedy
186,Action
186,Adventure
186,Mystery
186,Thriller
24,Action
665,Family
665,Comedy
665,Musical
665,Fantasy
665,Drama
665,Animation
674,Action
674,Crime
674,Thriller
124,Crime
124,Mystery
124,Thriller
870,Drama
870,War
212,Animation
212,Action
212,Adventure
1098,Drama
621,Comedy
621,Drama
365,Action
365,Crime
365,Drama
365,Thriller
1028,Adventure
1028,Drama
1028,Western
155,Action
155,Crime
155,Drama
105,Drama
800,Comedy
800,Romance
353,Action
353,Adventure
353,Sci-Fi
353,Thriller
314,Comedy
840,Horror
840,Mystery
840,Thriller
584,Drama
152,Drama
152,Horror
152,Thriller
152,Romance
14,Crime
14,Drama
1051,Drama
1051,Mystery
1051,Thriller
267,Drama
267,Thriller
267,Romance
908,Comedy
908,Drama
908,Mystery
827,Drama
477,Action
477,Crime
477,Drama
477,Thriller
70,Comedy
70,Crime
336,Comedy
336,Romance
1009,Drama
1009,Romance
327,Action
327,Crime
327,Fantasy
387,Comedy
387,Family
387,Fantasy
199,Adventure
199,Comedy
199,Crime
199,Drama
199,Romance
310,Drama
310,Horror
310,Thriller
792,Action
792,Drama
792,War
709,Drama
415,Crime
415,Drama
447,Drama
447,Comedy
765,Action
765,Horror
765,Sci-Fi
33,Comedy
463,Horror
463,Thriller
786,Comedy
786,Crime
786,Thriller
1077,Crime
1077,Drama
1077,Mystery
1077,Thriller
585,Drama
862,Action
862,Romance
862,Thriller
111,Comedy
111,Romance
736,Animation
736,Comedy
736,Fantasy
736,Horror
736,Musical
1108,Drama
1108,Thriller
784,Biography
784,Drama
784,Music
784,War
688,Drama
690,Horror
690,Sci-Fi
690,Thriller
47,Drama
481,Comedy
662,Comedy
662,Drama
662,Family
662,Romance
482,Crime
482,Drama
482,Thriller
1107,Comedy
1107,Drama
1107,Romance
941,Sci-Fi
603,Comedy
711,Drama
1099,Action
1099,Sci-Fi
1099,Thriller
557,Adventure
557,Horror
557,Thriller
410,Action
410,Adventure
410,Sci-Fi
410,Thriller
117,Comedy
117,Crime
406,Action
406,Adventure
406,Mystery
406,Thriller
1103,Adventure
1103,Comedy
26,Action
26,Adventure
26,Sci-Fi
26,Thriller
161,Action
161,Fantasy
161,Horror
161,Thriller
187,Drama
187,Mystery
187,Sci-Fi
95,Comedy
95,Drama
95,Romance
978,Crime
978,Drama
978,Thriller
855,Horror
855,Thriller
782,Thriller
427,Sci-Fi
427,Fantasy
427,Comedy
153,Comedy
153,Drama
153,Romance
153,Crime
1014,Action
1014,Drama
413,Action
413,Sci-Fi
413,Thriller
139,Comedy
139,Drama
139,Romance
606,Drama
606,Musical
606,Romance
379,Drama
850,Comedy
850,Horror
850,Musical
850,Sci-Fi
874,Horror
874,Mystery
874,Thriller
296,Drama
981,Mystery
981,Western
981,Romance
191,Action
191,Thriller
417,Drama
417,Sci-Fi
417,Thriller
966,Sci-Fi
966,Adventure
966,Fantasy
966,Action
816,Drama
816,Short
526,Animation
526,Family
526,Adventure
526,Action
526,Comedy
526,Sci-Fi
755,Drama
755,Sci-Fi
755,Thriller
880,Comedy
880,Crime
880,Horror
947,Sci-Fi
947,Adventure
947,Action
947,Fantasy
177,Drama
237,Drama
237,Romance
982,Comedy
982,Drama
982,Romance
436,Crime
436,Drama
