,Script_Id,Script_Title,Movie_Release_Date,Script_Date,Raw_Script_URL,Meta_Link
139,204,Burlesque,10-Nov,9-Feb,http://www.imsdb.com//scripts/Burlesque.html,http://www.imsdb.com/Movie%20Scripts/Burlesque%20Script.html
140,63,American Psycho,,,http://www.imsdb.com//scripts/American-Psycho.html,http://www.imsdb.com/Movie%20Scripts/American%20Psycho%20Script.html
141,483,Hellbound: Hellraiser II,,Mar-00,http://www.imsdb.com//scripts/Hellbound-Hellraiser-II.html,http://www.imsdb.com/Movie%20Scripts/Hellbound:%20Hellraiser%20II%20Script.html
142,866,Saving Private Ryan,,,http://www.imsdb.com//scripts/Saving-Private-Ryan.html,http://www.imsdb.com/Movie%20Scripts/Saving%20Private%20Ryan%20Script.html
143,399,Friday the 13th Part VIII: Jason Takes Manhattan,,,http://www.imsdb.com//scripts/Friday-the-13th-Part-VIII-Jason-Takes-Manhattan.html,http://www.imsdb.com/Movie%20Scripts/Friday%20the%2013th%20Part%20VIII:%20Jason%20Takes%20Manhattan%20Script.html
144,423,"Ghost and the Darkness, The",,,"http://www.imsdb.com//scripts/Ghost-and-the-Darkness,-The.html","http://www.imsdb.com/Movie%20Scripts/Ghost%20and%20the%20Darkness,%20The%20Script.html"
145,623,Little Nicky,,,http://www.imsdb.com//scripts/Little-Nicky.html,http://www.imsdb.com/Movie%20Scripts/Little%20Nicky%20Script.html
146,781,Philadelphia,,Sep-92,http://www.imsdb.com//scripts/Philadelphia.html,http://www.imsdb.com/Movie%20Scripts/Philadelphia%20Script.html
147,41,Alien,,Jun-78,http://www.imsdb.com//scripts/Alien.html,http://www.imsdb.com/Movie%20Scripts/Alien%20Script.html
148,852,Ronin,,May-97,http://www.imsdb.com//scripts/Ronin.html,http://www.imsdb.com/Movie%20Scripts/Ronin%20Script.html
149,432,Glengarry Glen Gross,,,http://www.imsdb.com//scripts/Glengarry-Glen-Gross.html,http://www.imsdb.com/Movie%20Scripts/Glengarry%20Glen%20Gross%20Script.html
150,904,Silver Bullet,,,http://www.imsdb.com//scripts/Silver-Bullet.html,http://www.imsdb.com/Movie%20Scripts/Silver%20Bullet%20Script.html
151,142,Being There,,Jan-79,http://www.imsdb.com//scripts/Being-There.html,http://www.imsdb.com/Movie%20Scripts/Being%20There%20Script.html
152,973,Swingers,,Dec-94,http://www.imsdb.com//scripts/Swingers.html,http://www.imsdb.com/Movie%20Scripts/Swingers%20Script.html
153,141,Being John Malkovich,,,http://www.imsdb.com//scripts/Being-John-Malkovich.html,http://www.imsdb.com/Movie%20Scripts/Being%20John%20Malkovich%20Script.html
154,640,Love and Basketball,,,http://www.imsdb.com//scripts/Love-and-Basketball.html,http://www.imsdb.com/Movie%20Scripts/Love%20and%20Basketball%20Script.html
155,189,Brazil,,,http://www.imsdb.com//scripts/Brazil.html,http://www.imsdb.com/Movie%20Scripts/Brazil%20Script.html
156,302,Deep Rising,,Jan-96,http://www.imsdb.com//scripts/Deep-Rising.html,http://www.imsdb.com/Movie%20Scripts/Deep%20Rising%20Script.html
157,53,Amadeus,,,http://www.imsdb.com//scripts/Amadeus.html,http://www.imsdb.com/Movie%20Scripts/Amadeus%20Script.html
158,318,Dog Day Afternoon,,,http://www.imsdb.com//scripts/Dog-Day-Afternoon.html,http://www.imsdb.com/Movie%20Scripts/Dog%20Day%20Afternoon%20Script.html
159,823,Rambo: First Blood II: The Mission,,Dec-83,http://www.imsdb.com//scripts/Rambo-First-Blood-II-The-Mission.html,http://www.imsdb.com/Movie%20Scripts/Rambo:%20First%20Blood%20II:%20The%20Mission%20Script.html
160,378,Fight Club,,Feb-98,http://www.imsdb.com//scripts/Fight-Club.html,http://www.imsdb.com/Movie%20Scripts/Fight%20Club%20Script.html
161,452,"Grifters, The",,Mar-89,"http://www.imsdb.com//scripts/Grifters,-The.html","http://www.imsdb.com/Movie%20Scripts/Grifters,%20The%20Script.html"
162,434,Godfather,,Mar-71,http://www.imsdb.com//scripts/Godfather.html,http://www.imsdb.com/Movie%20Scripts/Godfather%20Script.html
163,420,Get Shorty,,,http://www.imsdb.com//scripts/Get-Shorty.html,http://www.imsdb.com/Movie%20Scripts/Get%20Shorty%20Script.html
164,1018,Traffic,,,http://www.imsdb.com//scripts/Traffic.html,http://www.imsdb.com/Movie%20Scripts/Traffic%20Script.html
165,512,Hudson Hawk,,Jun-90,http://www.imsdb.com//scripts/Hudson-Hawk.html,http://www.imsdb.com/Movie%20Scripts/Hudson%20Hawk%20Script.html
166,337,Ed TV,,Jul-97,http://www.imsdb.com//scripts/Ed-TV.html,http://www.imsdb.com/Movie%20Scripts/Ed%20TV%20Script.html
167,96,Assassins,,Aug-94,http://www.imsdb.com//scripts/Assassins.html,http://www.imsdb.com/Movie%20Scripts/Assassins%20Script.html
168,955,Storytelling,,,http://www.imsdb.com//scripts/Storytelling.html,http://www.imsdb.com/Movie%20Scripts/Storytelling%20Script.html
169,98,At First Sight,,,http://www.imsdb.com//scripts/At-First-Sight.html,http://www.imsdb.com/Movie%20Scripts/At%20First%20Sight%20Script.html
170,805,"Producer, The",,Mar-67,"http://www.imsdb.com//scripts/Producer,-The.html","http://www.imsdb.com/Movie%20Scripts/Producer,%20The%20Script.html"
171,895,"Shining, The",,,"http://www.imsdb.com//scripts/Shining,-The.html","http://www.imsdb.com/Movie%20Scripts/Shining,%20The%20Script.html"
172,51,Almost Famous,,Dec-98,http://www.imsdb.com//scripts/Almost-Famous.html,http://www.imsdb.com/Movie%20Scripts/Almost%20Famous%20Script.html
