Script_Id,Script_Title,rt_title,Movie_Release_Date,Script_Date,rt_id,rt_year,rt_critics_score,rt_audience_score,Clean_Script_Title,title_match
936,Star Trek,Star Trek,5/9/2014,11/7/2014,770673029.0,2009.0,95.0,91.0,Star Trek,1
948,Starman,Starman,12/1/1984,,10746.0,1984.0,79.0,68.0,Starman,1
949,Starship Troopers,Starship Troopers,,6/19/1905,13719.0,1997.0,63.0,69.0,Starship Troopers,1
951,Station West,Station West,10/1/1948,6/1/1947,770889089.0,1948.0,-1.0,44.0,Station West,1
954,Stir of Echoes,Stir of Echoes,9/1/1999,3/1/1998,14386.0,1999.0,67.0,70.0,Stir of Echoes,1
956,Strange Days,Strange Days,10/1/1995,8/1/1993,13697.0,1995.0,63.0,73.0,Strange Days,1
957,Strangers on a Train,Strangers on a Train,,10/1/1950,10699.0,1951.0,98.0,93.0,Strangers on a Train,1
959,Sugar,Sugar,4/9/2014,,770764963.0,2008.0,93.0,80.0,Sugar,1
962,Sunshine Cleaning,Sunshine Cleaning,3/9/2014,3/7/2014,770682576.0,2008.0,72.0,62.0,Sunshine Cleaning,1
963,Super 8,Super 8,6/11/2014,12/10/2014,771041011.0,2011.0,82.0,75.0,Super 8,1
964,Superbad,Superbad,8/7/2014,7/6/2014,742790759.0,2007.0,88.0,87.0,Superbad,1
966,Supergirl,Supergirl,,1/1/1983,11892.0,1984.0,8.0,27.0,Supergirl,1
967,"Surfer King, The",The Surfer King,1/6/2014,4/4/2014,770676849.0,2006.0,-1.0,24.0,The Surfer King,1
968,Surrogates,Surrogates,9/9/2014,10/7/2014,770801542.0,2009.0,39.0,38.0,Surrogates,1
969,Suspect Zero,Suspect Zero,8/4/2014,11/1/2014,14189.0,2004.0,18.0,39.0,Suspect Zero,1
974,Swordfish,Swordfish,,1/1/2014,13173.0,2001.0,26.0,61.0,Swordfish,1
975,"Synecdoche, New York","Synecdoche, New York",3/9/2014,7/7/2014,770682711.0,2008.0,69.0,70.0,"Synecdoche, New York",1
976,Syriana,Syriana,12/5/2014,,9369.0,2005.0,72.0,68.0,Syriana,1
977,Taking Lives,Taking Lives,3/4/2014,2/3/2014,17141.0,2004.0,22.0,57.0,Taking Lives,1
979,Taking Sides,Taking Sides,9/3/2014,,20070.0,2001.0,73.0,72.0,Taking Sides,1
981,Tall in the Saddle,Tall in the Saddle,9/1/1944,,18797.0,1941.0,-1.0,70.0,Tall in the Saddle,1
982,Tamara Drewe,Tamara Drewe,10/10/2014,10/9/2014,771042123.0,2010.0,66.0,43.0,Tamara Drewe,1
984,Ted,Ted,6/12/2014,,771236465.0,2012.0,68.0,74.0,Ted,1
987,Terminator Salvation,Terminator Salvation,5/9/2014,10/5/2014,770676948.0,2009.0,33.0,55.0,Terminator Salvation,1
995,This Boy's Life,This Boy's Life,,3/1/1992,13933.0,1993.0,75.0,80.0,This Boy's Life,1
996,This is 40,This is 40,12/12/2014,,771225336.0,2012.0,51.0,51.0,This is 40,1
997,Thor,Thor,5/11/2014,,770783549.0,2011.0,77.0,76.0,Thor,1
1002,Thunderheart,Thunderheart,4/1/1992,10/1/1990,13235.0,1992.0,87.0,75.0,Thunderheart,1
1003,Ticker,Ticker,11/1/2014,11/1/1997,14062.0,2001.0,-1.0,16.0,Ticker,1
1004,Timber Falls,Timber Falls,12/7/2014,9/6/2014,770680423.0,2007.0,38.0,28.0,Timber Falls,1
1006,Tin Cup,Tin Cup,,12/1/1995,13203.0,1996.0,69.0,65.0,Tin Cup,1
1007,Tin Men,Tin Men,,6/1/1986,13409.0,2002.0,79.0,63.0,Tin Men,1
1008,Tinker Tailor Soldier Spy,Tinker Tailor Soldier Spy,12/11/2014,,771223851.0,2011.0,83.0,65.0,Tinker Tailor Soldier Spy,1
1009,Titanic,Titanic,,6/19/1905,22494.0,1997.0,88.0,69.0,Titanic,1
1010,TMNT,TMNT,3/7/2014,8/5/2014,387555583.0,2007.0,34.0,61.0,TMNT,1
1013,Tomorrow Never Dies,Tomorrow Never Dies,,6/19/1905,11715.0,1997.0,57.0,54.0,Tomorrow Never Dies,1
1015,Total Recall,Total Recall,,9/1/1990,771190127.0,2012.0,30.0,47.0,Total Recall,1
1016,"Tourist, The",The Tourist,12/10/2014,6/8/2014,771035591.0,2010.0,20.0,42.0,The Tourist,1
1020,Trainspotting,Trainspotting,,6/18/1905,16743.0,1996.0,89.0,94.0,Trainspotting,1
1026,Tropic Thunder,Tropic Thunder,8/8/2014,,770681826.0,2008.0,83.0,70.0,Tropic Thunder,1
1028,True Grit,True Grit,12/10/2014,6/9/2014,770860165.0,2010.0,96.0,85.0,True Grit,1
1029,True Lies,True Lies,,6/16/1905,16394.0,1994.0,72.0,76.0,True Lies,1
1032,Twilight,Twilight,11/8/2014,2/8/2014,770797582.0,2008.0,-1.0,74.0,Twilight,1
1035,Twins,Twins,,3/1/1998,10844.0,1988.0,36.0,38.0,Twins,1
1038,"Ugly Truth, The",The Ugly Truth,7/9/2014,2/8/2014,770789184.0,2009.0,13.0,61.0,The Ugly Truth,1
1040,Under Fire,Under Fire,10/1/1983,,14738.0,1983.0,88.0,69.0,Under Fire,1
1042,Unknown,Unknown,2/11/2014,10/9/2014,382673898.0,2006.0,38.0,55.0,Unknown,1
1043,Up,Up,5/9/2014,,770671912.0,2009.0,98.0,89.0,Up,1
1044,Up in the Air,Up in the Air,12/9/2014,,770790933.0,2009.0,90.0,79.0,Up in the Air,1
1046,V for Vendetta,V for Vendetta,3/6/2014,,112770454.0,2006.0,73.0,90.0,V for Vendetta,1
1048,Valkyrie,Valkyrie,12/8/2014,1/7/2014,770671940.0,2008.0,61.0,65.0,Valkyrie,1
1049,Vanilla Sky,Vanilla Sky,12/1/2014,,13077.0,2001.0,40.0,73.0,Vanilla Sky,1
1050,"Verdict, The",The Verdict,,6/4/1905,12978.0,1982.0,96.0,89.0,The Verdict,1
1052,Very Bad Things,Very Bad Things,,9/1/1997,16423.0,1998.0,44.0,58.0,Very Bad Things,1
1055,"Visitor, The",The Visitor,4/8/2014,,770679048.0,2008.0,89.0,84.0,The Visitor,1
1058,Walking Tall,Walking Tall,4/4/2014,,10644.0,2004.0,25.0,61.0,Walking Tall,1
1061,Wanted,Wanted,6/8/2014,12/5/2014,770675607.0,2008.0,71.0,69.0,Wanted,1
1062,War Horse,War Horse,12/11/2014,,771041783.0,2011.0,77.0,74.0,War Horse,1
1063,War of the Worlds,War of the Worlds,6/5/2014,,1789.0,2005.0,74.0,41.0,War of the Worlds,1
1064,Warm Springs,Warm Springs,4/5/2014,9/4/2014,167957324.0,2005.0,-1.0,76.0,Warm Springs,1
1065,Warrior,Warrior,9/11/2014,,770857926.0,2011.0,83.0,92.0,Warrior,1
1066,Watchmen,Watchmen,3/9/2014,,770671949.0,2009.0,64.0,70.0,Watchmen,1
1067,Water for Elephants,Water for Elephants,4/11/2014,4/9/2014,771204250.0,2011.0,60.0,70.0,Water for Elephants,1
1069,We Own the Night,We Own the Night,10/7/2014,,770670992.0,2007.0,57.0,61.0,We Own the Night,1
1071,What Lies Beneath,What Lies Beneath,,6/1/1999,10686.0,2000.0,46.0,59.0,What Lies Beneath,1
1072,When a Stranger Calls,When a Stranger Calls,10/1/1979,,14662876.0,2006.0,9.0,44.0,When a Stranger Calls,1
1074,While She Was Out,While She Was Out,12/8/2014,12/6/2014,770797858.0,2008.0,31.0,18.0,While She Was Out,1
1075,"Whistleblower, The",The Whistleblower,8/11/2014,8/7/2014,771205410.0,2010.0,74.0,72.0,The Whistleblower,1
1077,White Jazz,White Jazz,,9/7/2014,770795952.0,2009.0,-1.0,0.0,White Jazz,1
1079,White Squall,White Squall,,10/1/1994,10752.0,1996.0,62.0,66.0,White Squall,1
1080,Whiteout,Whiteout,9/9/2014,12/6/2014,770674765.0,2009.0,7.0,21.0,Whiteout,1
1082,Who's Your Daddy,Who's Your Daddy,1/5/2014,,14628.0,2002.0,-1.0,39.0,Who's Your Daddy,1
1084,"Wild Bunch, The",The Wild Bunch,6/1/1969,2/1/1968,12968.0,1969.0,98.0,91.0,The Wild Bunch,1
1085,Wild Hogs,Wild Hogs,3/7/2014,7/5/2014,450816743.0,2007.0,14.0,62.0,Wild Hogs,1
1088,Wild Wild West,Wild Wild West,,5/1/1998,11293.0,1999.0,20.0,28.0,Wild Wild West,1
1090,Win Win,Win Win,3/11/2014,,771224337.0,2011.0,94.0,85.0,Win Win,1
1091,Wind Chill,Wind Chill,4/7/2014,,706675581.0,2007.0,48.0,31.0,Wind Chill,1
1096,"Woodsman, The",The Woodsman,12/4/2014,7/2/2014,13229.0,2004.0,88.0,78.0,The Woodsman,1
1098,"Wrestler, The",The Wrestler,1/9/2014,10/7/2014,770680582.0,2008.0,98.0,88.0,The Wrestler,1
1101,X-Men Origins  Wolverine,X-Men Origins - Wolverine,5/9/2014,,770675725.0,2009.0,38.0,60.0,X-Men Origins  Wolverine,1
1102,xXx,XXX,,8/1/2014,11915.0,2002.0,48.0,59.0,xXx,1
1103,Year One,Year One,6/9/2014,10/7/2014,770684022.0,2009.0,14.0,23.0,Year One,1
1104,Yes Man,Yes Man,12/8/2014,2/7/2014,770682011.0,2008.0,45.0,66.0,Yes Man,1
1105,You Can Count On Me,You Can Count On Me,11/1/2000,,13769.0,2000.0,95.0,89.0,You Can Count On Me,1
1107,Youth in Revolt,Youth in Revolt,1/10/2014,7/7/2014,770782193.0,2010.0,66.0,53.0,Youth in Revolt,1
1108,Zero Dark Thirty,Zero Dark Thirty,1/13/2014,10/11/2014,771249562.0,2012.0,93.0,80.0,Zero Dark Thirty,1
1109,Zerophilia,Zerophilia,10/6/2014,3/4/2014,358604202.0,2006.0,25.0,62.0,Zerophilia,1
670,"Matrix Reloaded, The",The Matrix Reloaded,,4/1/1999,13008.0,2003.0,73.0,72.0,The Matrix Reloaded,1
671,"Matrix, The",The Matrix,,6/1/1997,12897.0,1999.0,87.0,85.0,The Matrix,1
672,Max Payne,Max Payne,10/8/2014,8/7/2014,770706171.0,2008.0,16.0,30.0,Max Payne,1
673,Mean Streets,Mean Streets,10/1/1973,,14993.0,1973.0,98.0,85.0,Mean Streets,1
675,Meet Joe Black,Meet Joe Black,,6/20/1905,12724.0,1998.0,51.0,81.0,Meet Joe Black,1
676,Meet John Doe,Meet John Doe,5/1/1941,,20170.0,1941.0,88.0,83.0,Meet John Doe,1
677,Megamind,Megamind,11/10/2014,,770805424.0,2010.0,73.0,71.0,Megamind,1
681,"Men Who Stare at Goats, The",The Men Who Stare at Goats,11/9/2014,10/8/2014,770790932.0,2009.0,52.0,39.0,The Men Who Stare at Goats,1
682,Metro,Metro,,6/19/1905,15996.0,1997.0,15.0,27.0,Metro,1
683,Miami Vice,Miami Vice,7/6/2014,9/4/2014,190816390.0,2006.0,47.0,43.0,Miami Vice,1
685,Midnight Express,Midnight Express,10/1/1978,6/1/1977,13816.0,1978.0,95.0,90.0,Midnight Express,1
686,Midnight in Paris,Midnight in Paris,6/11/2014,,771040308.0,2011.0,93.0,82.0,Midnight in Paris,1
688,Milk,Milk,11/8/2014,,770684396.0,2008.0,94.0,89.0,Milk,1
691,Mini's First Time,Mini's First Time,6/6/2014,,248006765.0,2006.0,54.0,47.0,Mini's First Time,1
693,"Miracle Worker, The",The Miracle Worker,7/1/1962,7/1/1961,18244.0,1962.0,100.0,88.0,The Miracle Worker,1
694,Mirrors,Mirrors,8/8/2014,1/7/2014,770740067.0,2008.0,14.0,45.0,Mirrors,1
699,Moneyball,Moneyball,9/11/2014,,771189939.0,2011.0,94.0,86.0,Moneyball,1
700,Monkeybone,Monkeybone,2/1/2014,2/1/1999,11961.0,2001.0,20.0,28.0,Monkeybone,1
702,Monte Carlo,Monte Carlo,7/11/2014,11/7/2014,771202906.0,2011.0,38.0,49.0,Monte Carlo,1
703,Moon,Moon,6/9/2014,11/7/2014,770782176.0,2009.0,89.0,89.0,Moon,1
704,Moonrise Kingdom,Moonrise Kingdom,6/12/2014,5/11/2014,771242131.0,2012.0,94.0,86.0,Moonrise Kingdom,1
705,Moonstruck,Moonstruck,,6/9/1905,10256.0,1987.0,93.0,81.0,Moonstruck,1
711,Mud,Mud,5/13/2014,9/11/2014,771307452.0,2013.0,98.0,80.0,Mud,1
712,Mulan,Mulan,,6/20/1905,9714.0,1998.0,86.0,84.0,Mulan,1
714,Mumford,Mumford,9/1/1999,,14871.0,1999.0,56.0,67.0,Mumford,1
